brand_name,generic_name,manufacturer_or_labeler,candidate_audience,candidate_url,status,content_type,evidence,review_action
AGGRASTAT,TIROFIBAN,Medicure International Inc,patient,https://www.aggrastathdb.com/?utm_source=Redirect&utm_medium=Domain&utm_campaign=Aggrastat.com,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AKEEGA,NIRAPARIB TOSYLATE MONOHYDRATE and ABIRATERONE ACETATE,"Janssen Biotech, Inc.",hcp,https://www.akeegahcp.com/,200,text/html,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AKEEGA,NIRAPARIB TOSYLATE MONOHYDRATE and ABIRATERONE ACETATE,"Janssen Biotech, Inc.",patient,https://www.akeega.com/,200,text/html,visible brand text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AKTEN,LIDOCAINE HYDROCHLORIDE ANHYDROUS,Thea Pharma Inc.,patient,https://akten.com/,200,text/html; charset=UTF-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
ALBUMINEX,Albumin Human,BPL,patient,https://www.albuminex.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AmBisome,amphotericin B,"Astellas Pharma US, Inc.",patient,https://ambisome.com/,200,text/html; charset=utf-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AMONDYS 45,casimersen,"Sarepta Therapeutics, Inc.",patient,https://www.amondys45.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
ANAFRANIL,clomipramine hydrochloride,SpecGx LLC,patient,https://anafranil.com/,200,text/html; charset=utf-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
Annovera,segesterone acetate and ethinyl estradiol,Mayne Pharma,hcp,https://www.annovera.com/hcp/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Annovera,segesterone acetate and ethinyl estradiol,Mayne Pharma,patient,https://www.annovera.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Antara,fenofibrate,"Lupin Pharmaceuticals, Inc.",patient,https://antara.com/,200,text/html;charset=utf-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
ARMLUPEG,pegfilgrastim-unne,"Lupin Pharmaceuticals, Inc.",patient,https://armlupeg.com/,200,text/html,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
ARYNTA,lisdexamfetamine dimesylate oral,"Azurity Pharmaceuticals, Inc.",hcp,https://www.arynta.com/hcp,200,text/html; charset=utf-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
ARYNTA,lisdexamfetamine dimesylate oral,"Azurity Pharmaceuticals, Inc.",patient,https://www.arynta.com/,200,text/html; charset=utf-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Asclera,POLIDOCANOL,"Methapharm, Inc",patient,https://asclera.com/,200,text/html; charset=UTF-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
ATZUMI,DIHYDROERGOTAMINE MESYLATE,"Satsuma Pharmaceuticals, Inc.",patient,https://www.satsumarx.com/our-product/,200,text/html; charset=UTF-8,visible brand text; HCP text,verify in browser before merging; candidate identified from direct brand-domain probe
AURLUMYN,ILOPROST,BTG International Inc,patient,https://aurlumyn.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Avance Nerve Graft,Processed nerve allograft,Axogen Corporation,patient,https://www.avancenervegraft.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AVTOZMA,tocilizumab,"CELLTRION USA, Inc.",hcp,https://www.avtozma.com/hcp/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AVTOZMA,tocilizumab,"CELLTRION USA, Inc.",patient,https://www.avtozma.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
AZASITE,azithromycin monohydrate,Thea Pharma Inc.,patient,https://azasite.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Balcoltra,levonorgestrel and ethinyl estradiol,Avion Pharmaceuticals,patient,https://balcoltra.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
BESREMi,ROPEGINTERFERON ALFA-2B,PharmaEssentia USA,hcp,https://www.besremihcp.com/,200,text/html; charset=UTF-8,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
BESREMi,ROPEGINTERFERON ALFA-2B,PharmaEssentia USA,patient,https://www.besremi.com/,200,text/html,visible brand text; HCP text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
Betadine,povidone-iodine,"Alcon Laboratories, Inc.",patient,https://betadine.com/,200,text/html; charset=UTF-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
Blood Collection System,CP2D/AS-3 triple with sampling system,GVS TM INC,patient,https://www.bloodcollectionsystem.com/,200,text/html,visible brand text; patient text,verify in browser before merging; candidate identified from direct brand-domain probe
BONDLIDO,lidocaine,"MEDRx USA, Inc.",patient,https://www.bondlido.com/,200,text/html; charset=UTF-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
BONJESTA,doxylamine succinate and pyridoxine hydrochloride,"Duchesnay USA, Inc.",hcp,https://hcp.bonjesta.com/,200,text/html;charset=utf-8,visible brand text; HCP text,verify in browser before merging; candidate identified from direct brand-domain probe
BONJESTA,doxylamine succinate and pyridoxine hydrochloride,"Duchesnay USA, Inc.",patient,https://bonjesta.com/,200,text/html;charset=utf-8,visible brand text,verify in browser before merging; candidate identified from direct brand-domain probe
